Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;F;29/04/1997;1180;Bruxelles;Belgium
fr;M;13/01/2013;1190;Forest;Belgium
fr;M;19/05/2007;1180;Uccle;Belgium
fr;M;15/12/2005;1180;UCCLE;Belgium
fr;F;05/12/1996;1650;Beersel;Belgium
fr;F;28/06/2010;1180;Uccle;Belgium
fr;F;24/02/1970;1755;Oetingen;Belgium
fr;M;25/08/1968;1950;KRAAINEM;Belgium
fr;M;02/10/2010;1640;Rhode saint genese;Belgium
fr;F;13/08/1981;1653;Beersel;Belgium
fr;M;11/02/2016;1620;Drogenbos;Belgium
fr;F;14/08/2012;1620;Drogenbos;Belgium
fr;M;04/02/1971;1380;Lasne;Belgium
fr;M;15/07/2013;1380;Plancenoit;Belgium
fr;M;16/06/2015;1650;Beersel;Belgium
fr;M;12/04/2018;1650;Beersel;Belgium
fr;F;03/01/2011;1170;Watermael-Boitsfort;Belgium
fr;M;09/08/1991;1180;Uccle;Belgium
fr;F;28/08/2011;1702;Groot-Bijgaarden;Belgium
fr;F;23/04/2018;1180;Uccle;Belgium
fr;M;29/09/1983;1180;Uccle;Belgium
fr;M;23/01/1975;7268;Bereldange;Luxembourg
fr;F;10/10/1988;1081;Koekelberg;Belgium
fr;M;14/03/2018;7181;Petit-Roeulx-Lez-Nivelles;Belgium
fr;F;21/09/2014;7181;Petit Roeulx;Belgium
fr;M;24/03/2009;1180;UCCLE;Belgium
fr;F;30/01/2013;1190;Bruxelles;Belgium
fr;F;11/01/2012;1180;Uccle;Belgium
fr;F;25/07/2021;1950;Kraainem;Belgium
fr;M;28/08/2013;1180;UCCLE;Belgium
fr;M;28/09/2015;1180;Uccle;Belgium
fr;F;19/05/1999;1190;Forest;Belgium
fr;F;29/04/2009;1547;Biévène;Belgium
fr;F;21/02/2018;1180;Bruxelles;Belgium
fr;F;25/09/2020;1180;Uccle;Belgium
fr;M;23/02/2020;1050;Bruxelles;Belgium
fr;M;19/05/2006;1060;Saint Gilles;Belgium
fr;F;28/07/2012;1190;Bruxelles;Belgium
fr;F;09/09/2019;1190;Forest;Belgium
fr;M;31/01/2022;1190;Forest;Belgium
fr;M;12/11/2015;1640;RHODE-ST-GENESE;Belgium
fr;M;07/02/2013;1640;RHODE-ST-GENESE;Belgium
fr;M;07/03/2009;1730;Asse;Belgium
fr;M;24/11/2014;1190;FOREST;Belgium
fr;F;06/07/2013;1601;Sint pieters leeuw;Belgium
fr;M;23/09/2011;1620;Drogenbos;Belgium
fr;F;19/03/2019;1630;Linkebeek;Belgium
fr;M;15/08/2013;1440;Braine-le-Château;Belgium
fr;F;19/03/2019;1630;Linkebeek;Belgium
fr;M;27/05/1980;1652;Alsemberg;Belgium
fr;M;16/04/1993;1470;Genappe;Belgium
fr;F;12/03/2009;7100;La Louvière;Belgium
fr;F;09/05/2010;1180;UCCLE;Belgium
fr;F;10/02/2020;1180;Bruxelles;Belgium
fr;M;22/03/2012;1180;UCCLE;Belgium
fr;M;03/06/2002;1410;Waterloo;Belgium
fr;M;17/01/2024;1160;Auderghem;Belgium
fr;F;05/12/2011;1190;Forest;Belgium
fr;M;22/09/1981;1410;Waterloo;Belgium
fr;F;18/02/2008;1620;DROGENBOS;Belgium
fr;M;08/02/1979;1620;DROGENBOS;Belgium
fr;M;23/04/1996;1160;Auderghem;Belgium
fr;F;01/08/2015;1180;Uccle;Belgium
fr;F;11/07/2020;1180;Uccle;Belgium
fr;M;29/01/1996;1180;Uccle;Belgium
fr;M;01/10/2008;1180;bruxelles;Belgium
fr;M;12/03/1978;1180;bruxelles;Belgium
fr;M;17/11/2021;1190;Forest;Belgium
fr;F;18/08/2018;1190;Forest;Belgium
fr;M;30/09/2015;1190;Forest;Belgium
fr;M;16/11/1992;1180;Bruxelles;Belgium
fr;M;23/02/1977;1200;Woluwé saint Lambert;Belgium
fr;F;09/09/2021;1190;Forest;Belgium
fr;M;12/10/1981;1380;Lasne;Belgium
fr;M;12/08/1955;1180 ;BRUXELLES 18;Belgium
fr;F;11/09/1980;1651;Lot;Belgium
